time_ref,account,code,country_code,product_type,value,status
201812,Imports,0,MT,Goods,1318439,F
201812,Imports,0,MU,Goods,1000986,F
201812,Imports,0,MV,Goods,3899,F
201812,Imports,0,MW,Goods,505308,F
201812,Imports,0,MX,Goods,97523292,F
201812,Imports,0,MY,Goods,489647770,F
201812,Imports,0,MZ,Goods,1372106,F
201812,Imports,0,NA,Goods,67309,F
201812,Imports,0,NC,Goods,555101,F
201812,Imports,0,NE,Goods,71292,F
201812,Imports,0,NG,Goods,5018,F
201812,Imports,0,NI,Goods,4287491,F
201812,Imports,0,NL,Goods,169392282,F
201812,Imports,0,NO,Goods,17308769,F
201812,Imports,0,NP,Goods,306935,F
201812,Imports,0,NR,Goods,184,F
201812,Imports,0,NU,Goods,130600,F
201812,Imports,0,NZ,Goods,48230444,F
201812,Imports,0,OM,Goods,1697943,F
201812,Imports,0,PA,Goods,1716391,F
201812,Imports,0,PE,Goods,15173743,F
201812,Imports,0,PF,Goods,888005,F
201812,Imports,0,PG,Goods,4135983,F
201812,Imports,0,PH,Goods,35774644,F
201812,Imports,0,PK,Goods,19613564,F
201812,Imports,0,PL,Goods,45551937,F
201812,Imports,0,PR,Goods,3110657,F
201812,Imports,0,PT,Goods,13869242,F
201812,Imports,0,PW,Goods,1492,F
201812,Imports,0,PY,Goods,186265,F
201812,Imports,0,QA,Goods,10030532,F
201812,Imports,0,RE,Goods,3549,F
201812,Imports,0,RO,Goods,6876912,F
201812,Imports,0,RS,Goods,1078380,F
201812,Imports,0,RU,Goods,85592502,F
201812,Imports,0,RW,Goods,394008,F
201812,Imports,0,SA,Goods,125608147,F
201812,Imports,0,SB,Goods,2843186,F
201812,Imports,0,SC,Goods,54673,F
201812,Imports,0,SD,Goods,147,F
201812,Imports,0,SE,Goods,97408116,F
201812,Imports,0,SG,Goods,526498713,F
201812,Imports,0,SH,Goods,17,F
201812,Imports,0,SI,Goods,7105154,F
201812,Imports,0,SK,Goods,22004539,F
201812,Imports,0,SL,Goods,34658,F
201812,Imports,0,SM,Goods,3131,F
201812,Imports,0,SN,Goods,18951,F
201812,Imports,0,SO,Goods,59199,F
201812,Imports,0,SR,Goods,217432,F
201812,Imports,0,SS,Goods,3374,F
201812,Imports,0,ST,Goods,700784,F
201812,Imports,0,SV,Goods,2363198,F
201812,Imports,0,SY,Goods,101,F
201812,Imports,0,SZ,Goods,141531,F
201812,Imports,0,TD,Goods,545,F
201812,Imports,0,TG,Goods,5965,F
201812,Imports,0,TH,Goods,674363303,F
201812,Imports,0,TJ,Goods,2172,F
201812,Imports,0,TK,Goods,35224,F
201812,Imports,0,TL,Goods,385053,F
201812,Imports,0,TN,Goods,3397823,F
201812,Imports,0,TO,Goods,760160,F
201812,Imports,0,TR,Goods,42426007,F
201812,Imports,0,TT,Goods,369446,F
201812,Imports,0,TW,Goods,240874866,F
201812,Imports,0,TZ,Goods,3908898,F
201812,Imports,0,UA,Goods,4870927,F
201812,Imports,0,UG,Goods,70808,F
201812,Imports,0,UM,Goods,9712,F
201812,Imports,0,US,Goods,1511141631,F
201812,Imports,0,UY,Goods,1638688,F
201812,Imports,0,UZ,Goods,2287,F
201812,Imports,0,VC,Goods,68,F
201812,Imports,0,VE,Goods,141468,F
201812,Imports,0,VG,Goods,28462,F
201812,Imports,0,VI,Goods,36849,F
201812,Imports,0,VN,Goods,271001232,F
201812,Imports,0,VU,Goods,246484,F
201812,Imports,0,WS,Goods,2664003,F
